#兼容所有拼音类型的公共简码库	
gj	感觉	根据	关键
mqg	没去过	煤气罐
mqx	明确性	民勤县
mre	美人儿
mry	美容院	美人鱼
msl	穆斯林	没事了	忙死了
msw	没所谓	穆萨维
mtd	没听懂	没听到
mtf	满天飞	木桶饭	满庭芳
mtj	没听见	明天见	茅台酒
mtl	摩天轮	曼陀罗	马蹄莲
mtq	蒙太奇	马头琴	没听清
mtr	木头人
mtt	慢吞吞	慢腾腾	米跳台
mtu	没听说	马桶上
mtx	满天下	没头绪	满天星
mty	猫头鹰	每天要
mvb	门诊部	美洲杯
mve	没准儿	免征额
mvh	民主化	木质化
mvj	民政局	瞄准镜	没主见
mvl	命中率	没着落	瞄准了
mvm	没这么	墓志铭
mvp	木制品	免战牌	棉织品
mvv	没找着	民主制
mvw	没指望	每周五
mvy	没注意	每周一
mxb	明细表	慢性病
mxd	没想到	明显的
mxg	墨西哥	没想过	没效果
mxp	明信片
mxr	某些人	喵星人
mxu	每小时	明显是
mxv	明细账	冒险者
mxz	慢性子	明孝宗
myb	每一步	没有被
myc	每一次	没有错
myd	慢一点	每一段	满意的
myi	梦一场	母夜叉	每一处
myj	没意见	每一句
myk	每一刻	每一款
mym	每一秒	摸一摸	没有买
myn	每一年	牧羊女
myr	没有人	明眼人
mys	没意思	莫耶斯
myu	名义上	没有说
myy	慢悠悠	没有用
myz	明一早	牡羊座	每一组
mzd	毛泽东	马自达
mzg	满足感	没资格
mzm	没怎么	毛泽民
nbg	拗不过	宁波港
nbj	那不就	脑白金
nbq	南半球	弄不清
nbu	你不是	那不是
nbv	拿不准	耐不住	能帮助
nbz	你不在	牛鼻子
ncl	弄错了	你错了
ncs	女厕所	男厕所
ndb	脑电波	尿蛋白
ndg	脑袋瓜	年代感	你的歌
ndl	拿到了	逆定理	你的脸
nfm	内分泌	哪方面
nga	尼姑庵	哪个啊
ngc	哪根葱	你刚才
ngz	脑瓜子	那个字	能够在
nhe	那会儿	女孩儿	男孩儿
nhq	奈何桥	拿回去
nil	年产量	拿出来	拿出了
njd	能见度	你觉得
nkt	你看他	脑壳痛
nld	年龄段	哪来的	努力的
nll	年利率	你来了
nmd	那么多	诺曼底	那么大
nmv	南美洲	柠檬汁
nmy	难民营	脑膜炎	你没有
nmz	哪门子	脑门子	能满足
nnl	努努力	你那里
nnq	娘娘腔	娜娜奇
nnz	努努嘴	你脑子
npl	拿破仑	鸟嘌呤
npq	牛脾气	闹脾气
npu	哪怕是	那怕是
npx	牛皮癣	南皮县
nqh	年轻化
nre	尼日尔	泥人儿
nrm	牛肉面	男人们
nrp	牛肉片	男人婆
nrr	暖融融	闹嚷嚷	难让人
ntl	那条路	哪条路
nus	鸟兽散	能杀死
nvd	脑震荡	哪知道	你知道
nvy	乃至于	拿主意	你这样
nxb	脑细胞	你先把
nxg	那些个	南线阁
nxl	纽西兰	拿下了
nxn	那些年	南匈奴
nxu	脑血栓	女学生
nxz	那小子	纳西族	你现在
nyd	哪一点	那样的
nyf	年夜饭	哪一方
nyh	哪一回	男一号
nyk	那一刻	哪一款
nyr	年月日	牛羊肉
nyw	哪一位	你以为
nyx	弄一下	脑溢血	耐用性
nzj	你自己	娘子军
nzk	牛仔裤	女租客
pbd	跑不掉	疲惫的
pbp	怕不怕	评不评
pbx	普遍性	陪伴下
pdb	拍电报	跑单帮	跑得比
pfb	评分表	批发部	皮肤病
pfi	剖腹产	平方差
pfm	平方米	旁分泌
pfz	票贩子
pgz	爬格子	泡个澡
phh	胖乎乎	配合好
phx	破坏性	平衡性
pix	平常心	排斥性
pjl	破纪录	潘金莲
plp	拍了拍	漂流瓶
plt	跑龙套	爬楼梯
pmq	贫民区	排名前
ppp	砰砰砰	啪啪啪
ppr	飘飘然	评判人
ppt	PPT	PowerPoint	泡泡糖
ppz	撇撇嘴	拍片子
pqu	喷气式	排气扇
pqx	迫切性	平泉县
prl	平日里	泡软了
pru	譬如说	皮肉伤
psl	蒲松龄	破损率
ptg	葡萄干	普通股
ptl	泡汤了	跑题了
ptr	普通人	莆田人
ptt	葡萄糖	偏头痛
ptu	普陀山	披头士	平台上
ptx	排他性	平台型
pty	葡萄牙	葡萄园
pux	普适性	平顺性
pvh	破折号	攀枝花	品质好
pvp	拍照片	偏振片	PVP
pvy	偏重于	朴振英
pxb	培训班	培训部
pxf	培训费	排序法
pxx	平行线	培训下
pxy	偏向于	平行于
pyh	鄱阳湖	便宜货
pyp	拼一拼	拍一拍
pyq	朋友圈	碰运气
pyx	拍一下	皮影戏	颇有些
qbv	却不知	情报站	其本质
qbz	卡脖子	齐步走	翘辫子
qdf	清道夫	卿大夫
qdh	千岛湖	启动后
qdi	气垫船	骑单车
qdq	瞧得起	启动器
qdv	期待着	期待值
qfb	全封闭	千分表	千分比
qfh	千分号	且符合
qfl	侵犯了	欠费了
qfq	潜伏期	其父亲
qfv	千分之	七分钟
qfx	启发性	前锋线
qgg	气鼓鼓	群公告	亲哥哥
qgj	缺根筋	请根据
qgl	奇怪了	全攻略
qgq	曲棍球	切过去
qgx	全国性	趋光性
qgy	庆功宴	轻工业	气管炎
qgz	潜规则	枪杆子
qhc	青花瓷	青花菜
qhd	秦皇岛	切换到
qhh	气呼呼	青海湖
qhj	前后脚	氰化钾
qhl	亲和力	强化了
qht	秋海棠	签合同
qhu	青海省	恰好是
qhw	前后文	氰化物	去华为
qjc	前几次	清君侧
qjd	旗舰店	千斤顶	期间的
qjg	清洁工	前几个	戚继光
qjj	清洁剂	旗舰机	情景剧
qjl	请见谅	请假了
qjm	前几名	取件码	亲姐妹
qjp	全键盘	敲键盘
qjt	前几天	全家桶	全景图
qjx	全局性	请教下	情境下
qjy	取决于	且具有
qjz	前脚走	强奸罪
qlg	潜力股	禽流感	奇了怪
qnl	去哪了	去哪里
qph	俏皮话
qpp	轻飘飘	却偏偏
qqe	蛐蛐儿
qsu	起诉书	全算上
qti	全脱产	钱塘潮
qtj	钱塘江	其他家
qtq	青铜器	窃听器
qun	青少年	其实你
qvd	圈重点	起征点	铅中毒
qvf	区政府	清政府
qvj	驱逐舰	起重机
qvn	青壮年	去找你
qvs	清真寺	屈指算
qvx	强制性	请知悉
qvy	求知欲	求助于	请注意
qvz	前阵子	牵着走
qwm	区位码	前五名
qwv	期望值	期望着
qxh	情绪化	取消后
qxj	强心剂	气象局	七夕节
qxn	前些年	期限内
qxt	前些天	曲线图	气象台
qyb	晴雨表	企业版
qyc	去一次	前一次
qyd	前一段	迁移到
qyf	七月份	秦玥飞
qyh	全运会	区域化	企业号
qyj	企业家	企业级
qyl	请原谅	强有力	其原理
qyq	瞧一瞧	敲一敲
qyu	潜意识	其一是
qyx	区域性	轻一些
qyy	起源于	轻音乐	去医院
qzb	签字笔	去做吧
qzx	请咨询
qzy	起作用	其作用
rbd	容不得	人不多
rbi	认不出	仍保持
rbl	饶不了	然并卵	忍不了
rbq	惹不起	认不清
rbr	日本人	让不让	热不热
rbx	容不下	人不晓
rdd	肉嘟嘟	扔掉的
rdh	惹的祸	任达华
rdy	热带鱼	人都有
rdz	软刀子	人都在
rem	日耳曼
rgq	绕个圈	绕过去
rgy	日光浴	如果有
rhj	润滑剂	热乎劲	然后就
rhu	任何事	然后说
rib	日程表	热插拔
rif	入场费	阮成发
riq	入场券	扔出去
rjm	肉夹馍	溶菌酶
rjp	软键盘	人界篇
rjy	软件园
rkl	绕口令	人看来
rkq	热空气
rll	人流量	热辣辣	人来了
rlr	揉了揉	日历日
rmm	软绵绵	绒毛膜
rnl	忍耐力	惹怒了
rnw	日内瓦	芮乃伟
rpp	软趴趴
rpu	日偏食	软盘上
rqq	热气球	绕圈圈
rqu	日全食	日全蚀
rqv	人情债	任期制	人群中
rqw	人情味	人气旺
rqz	燃气灶	绕圈子
rru	热热身	仍然是
rrx	柔韧性	软弱性
rsl	认死理	热死了
rst	染色体	肉丝汤
rtm	人头马	让他们
rtt	热腾腾	任天堂	软塌塌
rtu	人头税	如图示
rug	人生观	入射光
ruq	热水器	人身权	妊娠期
rvr	绕指柔	入住人
rvy	热衷于	若真有
rwl	任务栏	让我来
rwz	绕弯子	让我再
rxd	人行道	热心度
rxh	人性化	热销货	入学后
rxr	热心人	人下人
ryg	荣誉感	让一个
ryp	日用品	肉燕皮
ryq	任意球	绕一圈
ryt	日月潭	扔烟头
ryw	容易忘	汝阳王
sbd	斯巴达	三班倒
sbg	三不管	三百个
sbh	三把火	所包含
sbj	所不及	随笔集
sbn	随便你	三百年
sbq	三部曲	四部曲
sbs	算不算	斯宾塞
sbu	算不上	三本书
sbz	腮帮子	三步走
sdj	三等奖	三大件
sdl	随大流	死定了	斯大林
sdr	三代人	宋大仁
sdx	私底下	三叠系	速度型
sfc	私房菜	苏坟村
sfj	司法局	送风机	司法界
sft	送分题	三伏天	司法厅
sgb	三个半	所公布
sgl	苏格兰	送过来
sgp	算个屁	送果盘
sgv	三国志	三个钟
sgz	三个字	四个字
shj	松花江	塑化剂
shl	撒哈拉	孙红雷
shs	四环素
sht	死胡同	三合土
sjc	私家菜	三家村
sjh	三句话	三结合	随机化
sji	私家车	时间差	时间戳
sjq	丧家犬	塞进去
skq	松口气	三块钱
sks	萨克斯	斯卡斯
skt	思考题	斯科特
slb	算了吧	司令部
slg	三连冠	司令官	塞林格
slk	四六开	斯洛克
sll	赛璐珞	酸溜溜	森林里
slm	所罗门	死了吗
sln	苏里南	锁麟囊
sls	算了算	索罗斯
slx	三两下	三路线
sly	司令员	三连音
slz	撒拉族	散落在
sml	索马里	宿命论	所面临
smm	色眯眯
smv	三明治	司马昭
smy	什么样	扫描仪	萨摩耶
snb	随你吧	随你便
snk	斯诺克	苏纳克
spl	撕破脸	四牌楼
sqk	三七开	三千块
sql	算起来	死去了
sqq	死翘翘
sqy	三缺一	三千元
ssj	耸耸肩	三色堇	三四级
sss	三四岁	嘶嘶嘶
sst	三四天	三丝汤
stl	三条路	丧天良	斯特拉
stq	随他去	三天前
sue	塞舌尔	三十二
suh	私生活	松山湖
sun	三十年	私生女	四十年
sut	随身听	三十天
swk	孙悟空	三万块
swl	死亡率	三万里
sws	四五岁	三万三
swy	三文鱼	三万元
sxd	三兄弟	三星堆
sxj	思想家	四星级	三星级
sxu	思想上	三小时
sxw	色香味	私信我
sxx	思想性	苏小小
syh	私有化	酥油花	所以会
sys	扫一扫	算一算	搜一搜
syu	所以说	四元数
syy	饲养员	扫一眼	所以有
szy	嗓子眼	宋祖英
tal	太矮了	太暗了
tbc	挺不错	特别脆
tbg	通不过	特别高
tbj	听不见	它不仅
tbl	太棒了	谈不来	填补了
tdq	提得起	特地去
tdu	谈得上	特点是
tfb	挺方便	驼峰鼻
tfj	通风机	太费劲	田福军
tfl	太富了	天妇罗	特氟龙
tfx	突发性	同方向
tgf	太过分	透光阀	托管费
tgg	头盖骨	提供给
tgx	提个醒	托关系
tgy	铁观音	涂改液	太过于
thb	天花板	童话般
tiw	停车位	填充物
tjl	听见了	太久了
tjq	太极拳	推进器
tjs	田径赛	统计司
tla	谈恋爱	退了啊
tlf	吐鲁番	特吕弗
tlh	挺厉害	体力活
tlj	拖拉机	铁路局	图灵奖
tll	太累了	太老了
tlr	同龄人	同路人	太令人
tls	托拉斯	天蓝色
tlx	铁了心	同类型
tlz	捅娄子	铁离子
tmv	投名状	铁木真
tns	突尼斯	天宁寺
tpf	通配符	退票费
tpk	突破口	图片库
tpq	踢皮球	投票权
tpx	突破性	拓扑学	头皮屑
tpy	太平洋	太便宜
tqd	跆拳道	提前到
tqi	听清楚	通勤车	提取出
tqj	探亲假	特权级
tqx	同情心	透气性
tqy	听其言	天球仪	提取液
trj	突然间	唐人街
trl	天然林	太热了	太弱了
trm	天然萌	甜如蜜	同仁们
trx	讨人嫌	突然性
try	讨人厌	挺容易	太容易
ttg	退堂鼓	疼痛感
tti	土特产	特推出
ttj	推土机	凸透镜
ttl	淘汰了	弹跳力	吞吐量
tts	淘汰赛	团体赛
ttu	提提神	天台山	天天说
ttw	抬头纹	踢踏舞	天天玩
tux	特殊性	他手下
tvm	同志们	特征码
tvu	通知书	他只是
twd	台湾岛	甜味的
twh	题外话	退伍后
twj	体温计	跳舞机	甜味剂
twl	太晚了	图瓦卢	调味料
twp	调味品	调味瓶
tws	同位素
twt	天文台	提问题
twu	台湾省	听我说
twx	天文学	天王星
txi	体现出	通信处	挑选出
txj	退休金	探险家
txm	同学们	条形码
txu	通讯社	调香师
txv	通行证	体现着
txw	碳纤维	铜臭味
txx	挑衅性	图形学
txy	同心圆	通讯员	腾讯云
tyc	同义词	头一次
tyg	同一个	体育馆
tyi	体育场	统一成
tyn	太阳能	头一年
tyx	太阳系	太阳穴	椭圆形
tyy	投影仪	听音乐
tyz	同音字	同样在
tzl	太早了	偷走了
tzv	投资者	团组织
ubf	少部分	商标法
ubh	说不好	收不回	势必会
ubj	商标局	社保局
ubk	社保卡	上本科
ubn	上半年	是不能
ubq	上不去	说不清
ubs	十八岁	是白色
ubv	睡不着	殊不知	说不准
ubw	说不完	上百万
uby	上半夜	上百亿
ubz	上辈子	使绊子	上白泽
ucj	收藏夹	收藏家
ucp	收藏品	闪存盘
udg	十多个	时代感	收到过
udm	收到没	是多么
udn	十多年	蜀道难
udq	水电气	省点钱
udr	十多人	山东人
udt	手电筒	识大体	十多天
udu	山东省	说的是
uey	十二月	省二院
ugg	山沟沟	水管工
ugt	摔跟头	施工图
uhu	实话说	上海市	石灰石
ukb	时刻表	深拷贝
ukl	顺口溜	上课了
uky	社科院	是可以
ulg	十来个	疏离感	失落感
ulh	数理化	省略号
ulj	数量级	睡懒觉	生力军
uls	说了算	少林寺	十六岁
ult	水龙头	杀了他
ulx	生理学	生理性
umq	生闷气	是目前
umt	水蜜桃	生命体
umv	实名制	生命值
umz	数目字	深埋在
ung	少年宫	水暖工	是哪个
upg	审判官	水平高
upm	水平面	商品名
upq	适配器	审判权	手抛球
upx	水平线	视平线
uqb	受气包	申请表
uqi	说清楚	使汽车
uqs	十七岁	世青赛
uqx	双曲线	上前线
urh	说人话	上任后
uri	双人床	输入串
urj	双刃剑	说人家
urs	收容所	上热搜
usd	十三点	世俗的
uss	十四岁	十三岁
usv	生死战	十三辙	上诉状
uti	手推车	石头城
utl	伤透了	受胎率	渗透率
utw	生态位	竖条纹	上图为
utx	试探性	渗透性	生态学
uvd	谁知道	是真的
uvf	市政府	省政府
uvt	手指头	刷真题
uvu	深圳市	实质上
uwc	商务舱	鼠尾草
uwm	视网膜	是我们
uwq	生物圈	受委屈
uws	事务所	十五岁
uwt	生物体	啥问题
uwu	十位数	杀无赦	手腕上
uwv	生物钟	守望者
uxf	手续费	失心疯	盛行风
uxh	说瞎话	生小孩
uxj	数学家	摄像机
uxr	双休日	手下人	陕西人
uxt	摄像头	数学题
uxv	受限制	属性值
uyc	上一次	上一层
uyf	十月份	使用费
uyh	双引号	商业化
uyr	受益人	涮羊肉
uyt	示意图	收银台
uyv	是一种	受益者	使用者
uyy	适用于	十一月	收银员
uzy	受阻于	水资源
vbb	皱巴巴	这不比
vbc	真不错	只保存
vbd	找不到	长不大	准备的
vbj	直播间	猪八戒	制冰机
vbk	睁不开	准备看
vbu	这本书	这不是
vbv	找不着	准不准	值不值
vbx	装不下	这部戏
vby	止步于	准备用
vbz	这辈子	这帮子
vdj	战斗机	祝大家
vdm	知道吗	值得吗
vdn	正当年	知道你
vhu	这回事	正好是
vjg	芝加哥	这几个
vjh	这句话	证监会
vjn	这几年	拯救你
vjp	中间派	椎间盘	这几篇
vkv	准考证	竺可桢
vkw	重口味	周康王
vkx	只可惜	真可惜
vky	中科院	这可以
vln	中老年	这两年
vlt	这两天	这两条
vlu	蒸馏水	这里是
vly	致力于	这里有
vmb	这么笨	这么棒
vmm	这么慢	装门面	这么猛
vmp	这么胖	这么拼
vmr	掌门人	证明人	折磨人
vmt	皱眉头	真命题
vmw	这么晚	这么问
vmz	这么早	摘帽子	这么做
vne	执牛耳	住哪儿
vnt	这年头	智囊团	珍妮特
vnv	指南针	指南者
vpr	制片人	纸片人	正派人
vpy	占便宜	找朋友
vqf	正前方	证券法
vqg	支气管	占全国
vqj	中秋节	中情局	这期间
vqr	知其然	知情人	债权人
vqx	准确性	正确性	周期性
vqy	知其一	钟情于
vsy	之所以	占所有
vtb	涨停板	招投标
vtg	主题歌	转托管	只提供
vti	直通车	这条船
vtl	这条路	状态栏
vtm	这特么	真他妈	找他们
vtr	猪头肉	猪腿肉
vtt	直挺挺	侦探团
vtx	状态下	重头戏	主体性
vtz	摘桃子	猪蹄子	周天子
vux	真实性	只剩下
vvb	正准备	真正把
vvu	这种事	这正是
vwb	中文版	正误表	猪尾巴
vwm	中文名	找我们
vxj	照相机	哲学家
vxn	这些年	执行难
vxq	中心区	转向器	这些钱
vxt	这些天	折线图
vyc	这一次	中药材
vye	扎伊尔	针眼儿
vyf	障眼法	找一份
vym	至于吗	这一幕	张艺谋
vyq	转一圈	竹叶青	占有权
vyt	这一天	这一套
vyz	这样子	这样做
vzh	栀子花	只在乎
wbb	喂不饱	我并不
wbc	窝边草	五百次
wbd	王八蛋	我不懂
wbi	完不成	问不出
wbq	玩不起	我不去
wbv	玩不转	握不住	我保证
wbw	玩不玩	我把我
wcz	误操作	我曾在
wdv	五大洲	卫队长	我带着
wdx	稳定性	我的心
wem	沃尔玛	玩儿命
wew	沃尔沃	玩儿完
wgf	晚高峰	误工费
wgh	温哥华	无怪乎
wgy	五个月	外国语
wgz	五个字	捂盖子	无规则
whc	文化层	武侯祠	我很菜
whf	未婚夫	维护费
whq	未婚妻	文化圈
wid	完成度	胃肠道
wil	完成了	挖出来
wim	无重码	五常米
win	未成年
wiv	无产者	维持着
wjz	伪君子	我就在
wkx	伪科学	五颗星
wky	胃溃疡	无愧于	我可以
wlb	忘了吧	为了不
wld	五六点	窝里斗	未来的
wlf	窝里反	晚礼服
wlg	乌拉圭	我老公
wlh	网络化	王力宏
wli	乌龙茶	五辆车
wlk	往来款	我立刻
wln	五六年	为了能
wlq	为了钱	乌龙球
wls	蔚蓝色	五六岁	威利斯
wlx	物理学	物理系
wly	五粮液	无理由
wmt	伪命题	亡命徒	我每天
wnq	窝囊气	五年前
wns	威尼斯	维纳斯
wnu	毋宁说	我那时
wrj	无人机	无人迹
wrm	万人迷	为人民
wry	污染源	五日游
wsn	外孙女	我送你
wtb	乌托邦	问题吧
wth	渥太华	问题后
wtj	无条件	挖土机	舞台剧
wtr	委托人	我突然
wva	无障碍	我只爱
wvf	无政府	伪政府
wvg	为中国	尾椎骨
wvh	无纸化	稳准狠	完之后
wvx	完整性	我只想
wvy	无助于	我终于
wwl	娃娃脸	唯物论	玩完了
wxd	无线电	无限大	无限的
wxi	维修厂	胃下垂	无限长
wxj	文学家	五星级
wxp	五线谱	武侠片
wxq	微信群	无限期	危险期
wxv	无形中	无休止	我心中
wxw	无线网	我希望
wxx	危险性	我相信
wyd	晚一点	无影灯	唯一的
wye	玩意儿	为诱饵
wyf	五月份	物业费
wyg	无用功	我一个
wyl	无压力	无语了
wyn	维也纳	我也能
wyv	无意中	我一直
wyy	网易云	无意义	无异于
wzf	外祖父	卫子夫
wzm	外祖母	我怎么
wzq	五子棋	我再去
wzx	晚自习	我最想
xau	西安市	性暗示
xbf	想办法	西北风
xbi	想不出	下半场
xbt	想不通	行不通
xbv	闲不住	新标准
xbz	下辈子	小本子
xcb	下次吧
xcj	下次见	性刺激
xcl	写错了	新材料
xcm	小聪明	向侧面
xcx	瞎操心	修辞学
xdd	小弟弟	吸顶灯	响当当
xdf	小地方	新东方
xdg	信得过	相当高
xdh	现代化	闲得慌
xdj	洗涤剂	向大家
xdk	想得开	希丁克
xdy	相当于	相对于
xdm	想得美	写代码
xdr	许多人	想当然
xdw	现代文	小动物
xdx	相对性	新东西
xed	希尔顿	谢耳朵
xej	小而精	现而今
xek	小儿科	修尔克
xeu	形而上
xex	形而下	湘鄂西
xfe	媳妇儿	消费额
xfi	消防车	悬浮窗
xfj	兴奋剂	斜方肌
xfp	消费品	先锋派
xfu	洗发水	消费税	想法是
xfv	消费者	新发展
xfx	新发现	兴奋性	消费型
xfy	消防员	悬浮液	学法语
xgb	修改版	徐根宝
xgc	小高层	香根草
xgd	香港岛	西工大
xgf	下功夫	闲工夫	下工夫
xgi	性高潮	小高潮
xgj	膝关节	洗干净
xgx	习惯性	相关性
xgy	习惯于	下个月
xgz	下馆子	小个子	洗个澡
xhd	信号灯	小红点	消化道
xhh	笑呵呵	笑哈哈	小混混
xhm	喜欢吗	消化酶	小红帽
xhn	喜欢你	瞎胡闹
xhv	绣花针	向后转	喜欢着
xhx	下划线	绣花鞋	小户型
xiq	吸尘器	小插曲
xjd	现阶段	先进的
xjh	小家伙	戏剧化	相结合
xji	小轿车	洗剪吹	小剧场
xjk	小金库	新街口
xjl	下结论	下脚料	现金流
xjp	新加坡	喜剧片
xjq	陷进去	选举权	小技巧
xjt	心绞痛	小家庭
xjy	相较于	新纪元	喜加一
xmh	瞎忙活	笑面虎	项目会
xpn	橡皮泥	小胖妞
xqt	星期天	像其他
xsf	像素风	泄私愤	刑诉法
xsp	小算盘	小碎片
xsr	性骚扰	吓死人
xtj	习题集	下台阶
xtq	小提琴	心疼钱
xuq	显示器	小事情
xvb	修正版	袖珍本	新宙邦
xvd	想知道	谐振动	显著的
xve	下周二
xvh	瞎指挥	修正后
xvj	新专辑	新主机
xvl	下周六	限制了
xvm	西直门	下周末	徐志摩
xvq	行政区	薛之谦
xvr	下周日	系主任
xvs	下周三	下周四	行者孙
xvw	下周五	学中文
xvy	下周一	悬浊液	像这样
xwh	下午好	相吻合
xwi	下午茶	相位差
xwj	洗碗机	显微镜
xwx	新文学	想问下	新闻学
xwy	夏威夷	希望有
xxg	吸血鬼	新鲜感
xxl	想象力	信息量	新西兰
xxx	笑嘻嘻	小行星
xyj	洗衣机	西游记	巡洋舰
xyn	下一年	需要你
xyr	吸引人	嫌疑人
xyu	下意识	协议书	学艺术
xzj	现在就	写字间
xzm	瞎琢磨	学子们
xzq	协奏曲	选择权
xzr	闲杂人	西藏人	学做人
xzt	选择题	写字台	现在他
xzx	选择性	新泽西
ybf	一部分	有部分
ybh	也不会	也不好
ybr	要不然	一般人
ybz	一辈子	也不在
yda	印第安	有答案
ydi	一大串	运动场	有多长
ydp	一大批	一大片
yds	胰岛素	亚当斯
ydt	冤大头	阅读题
ydw	亚丁湾	原单位
yfh	一幅画	一番话	一分货
yfk	预付款	要分开
yfl	引发了	亚非拉	与法律
yfy	依附于	有反应
yfz	一分子	遗腹子	要放在
ygb	一个班	夜光表	应该把
ygc	一个词	应该从
ygd	一锅端	荧光灯	阳关道
yge	压根儿	伊戈尔
ygf	硬功夫	一公分	杨贵妃
ygh	一锅烩	应该会
ygm	一个梦	有购买
ygp	荧光屏	预告片
ygv	一锅粥	一个钟	有各种
yhu	一回事	印花税	也还是
yhv	与会者	蕴含着
ykq	一口气	一块钱
ykv	眼看着	一刻钟	要控制
ylc	一两次	有两次
ylf	医疗费	有裂缝
yli	一连串	游乐场	一辆车
ylj	一两句	羽量级	养老金
ylk	伊拉克	语料库
yln	一两年	阳历年	原谅你
ylq	娱乐圈	一连气	有了钱
yls	叶绿素	一两岁	有类似
ylt	一两天	叶绿体	有两条
ylw	阎罗王	议论文	原谅我
ylx	娱乐性	依赖性	医疗险
ymc	益母草	油麦菜	芽苗菜
ymd	一面倒	烟幕弹	有名的
yme	爷们儿	有门儿
ymh	雅马哈	妖魔化	一抹黑
ymj	牙买加	也没见	衣帽间
ymm	一幕幕	有眉目	影迷们
ymq	羽毛球	一毛钱
ymr	虞美人	野蛮人
ymu	一码事	也没事
ymv	一秒钟	夜明珠	有某种
ymx	亚马逊	严密性	有明显
ymz	要面子	夜猫子	亚麻籽
ynj	一年级	伊能静
ynu	云南省	应纳税
ypg	压迫感	一屁股
ypl	有魄力	有评论
ypm	一平米	油泼面	一匹马
ypp	一片片	与品牌
ypy	硬碰硬	有朋友
yqd	优缺点	有趣的
yqf	右前方	有启发
yqh	邀请函	运气好
yqj	元器件	油漆匠	一切皆
yqk	眼前亏	一千块
yqn	要求你	一千年
yqq	雨凄凄	一起去
yqy	有求于	与企业
yrj	愚人节	有人叫
ysl	以色列	伊斯兰
ysu	也算是	意思是
yvb	圆珠笔	硬指标	一直被
yvf	一阵风	由政府
yvh	一枝花	一周后
yvj	邮政局	有主见	抑制剂
yvl	意志力	圆周率	硬着陆
yvm	验证码	一周目	有这么
yvv	一阵阵	眼睁睁	有这种
yvz	一阵子	一直在
ywb	英文版	义务兵	因为被
ywg	一万个	义务工	英文歌
ywj	源文件	与外界
ywk	依我看	一万块
ywm	英文名	与我们
ywn	一万年	因为你
ywt	有问题	因为他
yww	洋娃娃	鱼尾纹	因为我
ywy	业务员	因为有
yxb	一小半	也许吧	游戏本
yxf	右下方	优选法	有想法
yxl	影响力	一系列	印象里
yxm	音形码	游戏吗
yxs	预选赛	亚硝酸	有相似
yxt	游戏厅	一席谈	有相同
yxv	印象中	游戏中
yxw	一下午	也希望
yxx	一下下	有效性	有信心
yxy	医学院	亚细亚	一向以
yyf	一月份	有一份
yyg	有一个	优越感
yzn	原子能	又怎能
yzz	一座座	一字字
zbi	做不出	在保持
zbn	总不能	在半年
zbr	再不然	再比如
zbv	坐不住	遭不住	坐标轴
zby	赞比亚	在毕业
zdf	最低分	在对方
zeg	昨儿个	罪恶感
zfj	字符集	坐飞机
zge	自个儿	最高额
zgf	最高分	最高峰	早高峰
zgt	栽跟头	坐高铁
zhd	杂货店	最坏的	最好的
zhg	自豪感	在韩国
zhj	组合键	最后就
ziq	走出去	在初期
zkz	钻空子
zld	自留地	在伦敦
zli	脏乱差	在临床
zll	紫罗兰	走廊里
zlu	自来水	在路上
zmi	怎么成	在漫长
zmk	怎么看	子母扣	在门口
zmp	怎么破	怎么跑
zmt	自媒体	在媒体
zmw	怎么玩	在门外
znu	怎能说	在那时
znx	灾难性	走内线	做哪些
zpz	左撇子	嘴皮子
zqf	左前方	在前方
zrg	责任感	自然光
ztl	糟蹋了	在讨论
ztq	遭天谴	昨天去
ztu	总体上	在台上
zux	暂时性	杂食性	在水下
zvu	增值税	杂志社
zwl	走弯路	在未来
zwu	走为上	在网上
zwv	做文章	造物主	在文章
zwx	紫外线	再往下
zxf	左下方	在西方
zxh	最喜欢	最小化	总喜欢
zxj	左下角	增效剂	最先进
zxn	早些年	在校内
zxu	在校生	咨询师
zxx	自信心	醉醺醺	脏兮兮
zyh	自由化	最优化	在银行
zyq	在一起	在眼前
zyu	早已是	左右手	最原始
xhup	小鹤双拼
xhyx	小鹤音形
dqjd	当且仅当
vglv	治国理政
ddw	敌敌畏	东帝汶
dqt	大晴天	大前提
eqw	恶趣味
kdn	卡迪娜
kfc	肯德基
lan	恋爱脑
mrg	魔然改
oy	偶遇
pkp	扑克牌
sgu	三国杀
skc	SKC
sku	SKU
str	str
tlp	太离谱
top	TOP
tui	TUI
txt	TXT
vrg	转人工	主人公
vxk	真辛苦
vya	这样啊
vzm	这怎么
wcb	woc冰！
wph	唯品会
wrd	无人岛	Word
www	我问问	呜呜呜	万维网
xhs	小红书	猩红色
xkq	辛苦钱
xln	希腊奶
zrf	自然辅
aav	AA制
apj	安培计
asv	A4纸
bbd	巴不得	办不到	保不定
cjj	C++
cpj	磁偏角
cpp	C++
cyy	C语言	餐饮业
ejw	二进制文件
fpj	发泡剂
fwu	服务社
hli	火轮船
jlg	机灵鬼
jvn	就只能
kvh	客制化
lff	乱纷纷
lwl	来晚了	烂尾楼
mrq	默认情况下	卖人情
nxx	内向型
or	偶然
smn	什么呢
ssd	4S店	三四点
syb	缩印本
upj	食品街
veb	中二病
vjm	炸酱面
vty	正投影
vxx	中小型
vyi	制药厂	制衣厂
